variant sku*,product sku*,product name*,variant name,warehouse location,inventory,brand,category*,color,mrp,cost,size,description*,image url,height mm,width mm,length mm,weight grm,serial,gst,hsn code,tax,enabled,linked
WEFT-CREW-FULL-WIRE-PRINT-GREY-XL,WEFT-CREW-FULL-WIRE-PRINT-GREY-XL,WEFT-CREW-FULL-WIRE-PRINT-GREY-XL,WEFT-CREW-FULL-WIRE-PRINT-GREY-XL,Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,0,0
WEFT-CREW-FULL-WIRE-PRINT-GREY-L,WEFT-CREW-FULL-WIRE-PRINT-GREY-L,WEFT-CREW-FULL-WIRE-PRINT-GREY-L,WEFT-CREW-FULL-WIRE-PRINT-GREY-L,Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-WIRE-PRINT-GREY-M,WEFT-CREW-FULL-WIRE-PRINT-GREY-M,WEFT-CREW-FULL-WIRE-PRINT-GREY-M,WEFT-CREW-FULL-WIRE-PRINT-GREY-M,Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-WIRE-PRINT-GREY-S,WEFT-CREW-FULL-WIRE-PRINT-GREY-S,WEFT-CREW-FULL-WIRE-PRINT-GREY-S,WEFT-CREW-FULL-WIRE-PRINT-GREY-S,Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ABSTRACT-MAROON-L,WEFT-CREW-FULL-ABSTRACT-MAROON-L,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ABSTRACT-MAROON-M,WEFT-CREW-FULL-ABSTRACT-MAROON-M,Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ABSTRACT-MAROON-S,WEFT-CREW-FULL-ABSTRACT-MAROON-S,Weft Checkered Men's Round Neck Maroon T-Shirt (),Weft Checkered Men's Round Neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ABSTRACT-MAROON-XL,WEFT-CREW-FULL-ABSTRACT-MAROON-XL,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-BLACK-L,WEFT-CREW-FULL-FORREST-BLACK-L,Weft Self Design Men's Round Neck Black T-Shirt (),Weft Self Design Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-BLACK-M,WEFT-CREW-FULL-FORREST-BLACK-M,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
